id	item_group_id	title	description	price	sale_price	image_link	link	availability	product_type	brand	color	size	custom_label_0	custom_label_1	custom_label_2	custom_label_3	custom_label_4	catwalk_video	parent_sku	sales_count_10_days	vip_price	release_date	sales_count_conversions_10_days	half_price	aged_sale_price	sales_count_conversions_1_day	inventory_count
FT2149900-1429-83120	13768105	"Leli Chain Detail Lug Sole Loafer"	" Features JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Material: Faux Leather Heel Height: 2.25"" Measurements will vary slightly Closure: Slip On Imported "	$64.95	$12.49	https://us-cdn.justfab.com/media/images/products/FT2149900-1429/FT2149900-1429-2_589x860.jpg	https://www.justfab.ca/products/Leli-Chain-Detail-Lug-Sole-Loafer-FT2149900-1429	"in stock"	"Fashion > Shoes > Flats > Loafer"	JustFab			3	33	"Leli Chain Detail Lug Sole Loafer"		"mid performer"	https://us-cdn.justfab.com/media/video/products/FT2149900-1533/FT2149900-1533.mp4	FT2149900	33	$49.95	28/02/2023	3	$29.97	$	0	44
HS2149862-2660-83055	13949680	"Fiona Slouched Heeled Boot"	" Features JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Material: Faux Suede Heel Height: 3.25"" Measurements will vary slightly Closure: Inside zipper Imported "	$79.95	$13.74	https://us-cdn.justfab.com/media/images/products/HS2149862-2660/HS2149862-2660-2_589x860.jpg	https://www.justfab.ca/products/Fiona-Slouched-Heeled-Boot-HS2149862-2660	"in stock"	"Fashion > Shoes > Boots > Slouch"	JustFab			3	9	"Fiona Slouched Heeled Boot"		"low performer"	https://us-cdn.justfab.com/media/video/products/HS2149862-2660/HS2149862-2660.mp4	HS2149862	9	$54.95	28/11/2022	3	$32.97	$	0	40
PP2146840-2400-84100	14212393	"Annakay Pointed Toe Pump"	" Dream Sole – Double the padding for comfort, support, and ease of movement. Material: Faux Leather Heel Height: 4.0"" Measurements will vary slightly Imported "	$44.95	$8.24	https://us-cdn.justfab.com/media/images/products/PP2146840-2400/PP2146840-2400-2_589x860.jpg	https://www.justfab.ca/products/Annakay-Pointed-Toe-Pump-PP2146840-2400	"in stock"	"Fashion > Shoes > Pumps > D'Orsay"	JustFab			3	5	"Annakay Pointed Toe Pump"		"low performer"		PP2146840	5	$32.95	22/12/2022	3	$19.77	$	0	507
HD2354700-1533-83100	14241280	"Amara Platform Heeled Sandal"	" Material: Faux Suede Heel Height: 4.5"" Platform Height: 1.5"" Measurements will vary slightly Closure: Adjustable Buckle Imported "	$56.95	$11.24	https://us-cdn.justfab.com/media/images/products/HD2354700-1533/HD2354700-1533-2_589x860.jpg	https://www.justfab.ca/products/Amara-Platform-Heeled-Sandal-HD2354700-1533	"in stock"	"Fashion > Shoes > Sandals > Ankle Strap"	JustFab			3	8	"Amara Platform Heeled Sandal"		"low performer"	https://us-cdn.justfab.com/media/video/products/HD2354700-1533/HD2354700-1533.mp4	HD2354700	8	$44.95	31/01/2023	3	$26.97	$	0	36
FT2354746-7048-83110	14241550	"Zoey Gladiator Sandal"	" Material: Faux Leather Heel Height: 2.25"" Platform Height: 1.5"" Measurements will vary slightly Closure: Adjustable Straps Imported "	$54.95	$11.24	https://us-cdn.justfab.com/media/images/products/FT2354746-7048/FT2354746-7048-2_589x860.jpg	https://www.justfab.ca/products/Zoey-Platform-Sandal-FT2354746-7048	"in stock"	"Fashion > Shoes > Sandals > Gladiator"	JustFab			3	14	"Zoey Gladiator Sandal"		"low performer"	https://us-cdn.justfab.com/media/video/products/FT2354746-7048/FT2354746-7048.mp4	FT2354746	14	$44.95	31/01/2023	3	$26.97	$	0	41
FT2354731-1533-83060	14241667	"Gemma Ballet Flat"	" Belongs to the JF Core collection—tried, tested & true Material: Faux Leather Heel Height: 0.5"" Measurements will vary slightly Closure: Slip On Imported "	$32.95	$6.24	https://us-cdn.justfab.com/media/images/products/FT2354731-1533/FT2354731-1533-2_589x860.jpg	https://www.justfab.ca/products/Gemma-Ballet-Flat-FT2354731-1533	"in stock"	"Fashion > Shoes > Flats > Ballet"	JustFab			3	20	"Gemma Ballet Flat"		"low performer"	https://us-cdn.justfab.com/media/video/products/FT2354731-1533/FT2354731-1533.mp4	FT2354731	20	$24.95	31/01/2023	3	$14.97	$	0	40
WE2354743-1610-83120	14242018	"Sariah Espadrille Wedge Sandal"	" Material: Faux Leather Heel Height: 3.5"" Platform Height: 0.75"" Measurements will vary slightly Closure: Adjustable Buckle Imported "	$52.95	$9.99	https://us-cdn.justfab.com/media/images/products/WE2354743-1610/WE2354743-1610-2_589x860.jpg	https://www.justfab.ca/products/Sariah-Wedge-Sandal-WE2354743-1610	"in stock"	"Fashion > Shoes > Sandals > Wedge"	JustFab			3	18	"Sariah Espadrille Wedge Sandal"		"low performer"	https://us-cdn.justfab.com/media/video/products/WE2354743-1610/WE2354743-1610.mp4	WE2354743	18	$39.95	31/01/2023	3	$23.97	$	0	17
FA2354730-1533-83110	14242792	"Everly Flatform Slide Sandal"	" Material: Faux Leather Heel Height: 0.75"" Measurements will vary slightly Closure: Slip On Imported "	$46.95	$9.24	https://us-cdn.justfab.com/media/images/products/FA2354730-1533/FA2354730-1533-2_589x860.jpg	https://www.justfab.ca/products/Everly-Slide-Sandal-FA2354730-1533	"in stock"	"Fashion > Shoes > Sandals > Slide"	JustFab			3	11	"Everly Flatform Slide Sandal"		"low performer"	https://us-cdn.justfab.com/media/video/products/FA2354730-1533/FA2354730-1533.mp4	FA2354730	11	$36.95	31/01/2023	3	$22.17	$	0	27
SK2041221-6480-83055	14243326	"First Timer Platform Sneaker"	" Belongs to the JF Core collection—tried, tested & true Material: Recycled Canvas Heel Height: 1.5"" Platform Height: 1.5"" Measurements will vary slightly Closure: Adjustable Laces Imported "	$42.95	$8.24	https://us-cdn.justfab.com/media/images/products/SK2041221-6480/SK2041221-6480-2_589x860.jpg	https://www.justfab.ca/products/First-Timer-Platform-Sneaker-SK2041221-6480	"in stock"	"Fashion > Shoes > Sneakers > Low Top"	JustFab			3	26	"First Timer Platform Sneaker"		"mid performer"	https://us-cdn.justfab.com/media/video/products/SK2041221-2458/SK2041221-2458.mp4	SK2041221	26	$32.95	28/02/2023	3	$19.77	$	0	17
HS2354801-1440-83055	14387323	"Delilah Western Boot"	" Material: Faux Leather Shaft Height: 14.25"" Heel Height: 3.0"" Measurements will vary slightly Closure: Functional Side Zipper Imported "	$74.99	$15.74	https://us-cdn.justfab.com/media/images/products/HS2354801-1440/HS2354801-1440-2_589x860.jpg	https://www.justfab.ca/products/Delilah-Western-Boot-HS2354801-1440	"in stock"	"Fashion > Shoes > Boots > Cowboy and Western"	JustFab			3	22	"Delilah Western Boot"		"low performer"	https://us-cdn.justfab.com/media/video/products/HS2354801-10916/HS2354801-10916.mp4	HS2354801	22	$62.95	28/02/2023	3	$37.78	$	1	17
