id	item_group_id	title	price	sale_price	image_link	link	availability	product_type	brand	additional_image_link_1	additional_image_link_2	additional_image_link_3	inventory_count	product_sku	sales_count_conversions_10_days	additional_image_link_0	additional_image_link_4	sales_count_conversions_1_day	mpid	parent_sku	membership_brand_id	release_date
SS2251672-7418-50760	12651916	"Mesh Me Smoothing Midi Top"	$64.95		https://fabletics-us-cdn.justfab.com/media/images/products/SS2251672-7418/yitty_SS2251672-7418-1_998x1498.jpg	"https://yitty.fabletics.com/products/12651916?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Tops > Short Sleeve T-Shirts > Cropped"	Fabletics		https://fabletics-us-cdn.justfab.com/media/images/products/SS2251672-7418/yitty_SS2251672-7418-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/SS2251672-7418/yitty_SS2251672-7418-4_998x1498.jpg	3682	SS2251672-7418	16		https://fabletics-us-cdn.justfab.com/media/images/products/SS2251672-7418/yitty_SS2251672-7418-5_998x1498.jpg	2	12651916	SS2251672-7418	2	2023/06/12
BU2250669-9066-15140	12652426	"Nearly Naked Shaping Mid Thigh Bodysuit"	$74.95		https://fabletics-us-cdn.justfab.com/media/images/products/BU2250669-9066/yitty_BU2250669-9066-1_998x1498.jpg	"https://yitty.fabletics.com/products/12652426?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Tops > Bodysuits"	Fabletics		https://fabletics-us-cdn.justfab.com/media/images/products/BU2250669-9066/yitty_BU2250669-9066-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/BU2250669-9066/yitty_BU2250669-9066-4_998x1498.jpg	3376	BU2250669-9066	0		https://fabletics-us-cdn.justfab.com/media/images/products/BU2250669-9066/yitty_BU2250669-9066-5_998x1498.jpg	0	12652426	BU2250669-9066	2	2023/06/12
BU2250594-7408-50800	12652612	"Mesh Me Smoothing Sleeved Thong Bodysuit"	$84.95		https://fabletics-us-cdn.justfab.com/media/images/products/BU2250594-7408/yitty_BU2250594-7408-1_998x1498-plus.jpg	"https://yitty.fabletics.com/products/12652612?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Tops > Bodysuits"	Fabletics		https://fabletics-us-cdn.justfab.com/media/images/products/BU2250594-7408/yitty_BU2250594-7408-3_998x1498-plus.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/BU2250594-7408/yitty_BU2250594-7408-4_998x1498-plus.jpg	5229	BU2250594-7408	2			0	12652612	BU2250594-7408	2	2023/06/12
LG2252153-9011-50800	13327978	"Headliner Shaping High Waist Legging"	$84.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG2252153-9011/yitty_LG2252153-9011-1_998x1498-plus.jpg	"https://yitty.fabletics.com/products/13327978?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Full Length"	Fabletics		https://fabletics-us-cdn.justfab.com/media/images/products/LG2252153-9011/yitty_LG2252153-9011-3_998x1498-plus.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG2252153-9011/yitty_LG2252153-9011-4_998x1498-plus.jpg	4179	LG2252153-9011	3		https://fabletics-us-cdn.justfab.com/media/images/products/LG2252153-9011/yitty_LG2252153-9011-5_998x1498-plus.jpg	1	13327978	LG2252153-9011	2	2023/06/12
BB2252168-9011-50770	13328176	"Headliner Shaping Midi Bralette"	$64.95		https://fabletics-us-cdn.justfab.com/media/images/products/BB2252168-9011/yitty_BB2252168-9011-1_998x1498-plus.jpg	"https://yitty.fabletics.com/products/13328176?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Sports Bras > Bralette"	Fabletics		https://fabletics-us-cdn.justfab.com/media/images/products/BB2252168-9011/yitty_BB2252168-9011-3_998x1498-plus.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/BB2252168-9011/yitty_BB2252168-9011-4_998x1498-plus.jpg	2239	BB2252168-9011	4		https://fabletics-us-cdn.justfab.com/media/images/products/BB2252168-9011/yitty_BB2252168-9011-5_998x1498-plus.jpg	1	13328176	BB2252168-9011	2	2023/06/12
BU2250669-9011-15140	13404208	"Nearly Naked Shaping Mid Thigh Bodysuit"	$69.95		https://fabletics-us-cdn.justfab.com/media/images/products/BU2250669-9011/yitty_BU2250669-9011-1_998x1498.jpg	"https://yitty.fabletics.com/products/13404208?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Tops > Bodysuits"	Fabletics		https://fabletics-us-cdn.justfab.com/media/images/products/BU2250669-9011/yitty_BU2250669-9011-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/BU2250669-9011/yitty_BU2250669-9011-4_998x1498.jpg	1060	BU2250669-9011	2		https://fabletics-us-cdn.justfab.com/media/images/products/BU2250669-9011/yitty_BU2250669-9011-5_998x1498.jpg	1	13404208	BU2250669-9011	2	2023/06/12
BU2251651-9011-15140	13404271	"Nearly Naked Shaping Thong Bodysuit"	$64.95		https://fabletics-us-cdn.justfab.com/media/images/products/BU2251651-9011/yitty_BU2251651-9011-1_998x1498.jpg	"https://yitty.fabletics.com/products/13404271?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Tops > Bodysuits"	Fabletics		https://fabletics-us-cdn.justfab.com/media/images/products/BU2251651-9011/yitty_BU2251651-9011-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/BU2251651-9011/yitty_BU2251651-9011-4_998x1498.jpg	435	BU2251651-9011	2		https://fabletics-us-cdn.justfab.com/media/images/products/BU2251651-9011/yitty_BU2251651-9011-5_998x1498.jpg	1	13404271	BU2251651-9011	2	2023/06/12
SO2250599-9011-16340	13404313	"Nearly Naked Shaping High Waist Short"	$49.95		https://fabletics-us-cdn.justfab.com/media/images/products/SO2250599-9011/yitty_SO2250599-9011-1_998x1498-plus.jpg	"https://yitty.fabletics.com/products/13404313?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Shorts"	Fabletics		https://fabletics-us-cdn.justfab.com/media/images/products/SO2250599-9011/yitty_SO2250599-9011-3_998x1498-plus.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/SO2250599-9011/yitty_SO2250599-9011-4_998x1498-plus.jpg	7013	SO2250599-9011	4		https://fabletics-us-cdn.justfab.com/media/images/products/SO2250599-9011/yitty_SO2250599-9011-5_998x1498-plus.jpg	0	13404313	SO2250599-9011	2	2023/06/12
BF2250668-9011-15140	13404406	"Nearly Naked Shaping High Waist Brief"	$39.95		https://fabletics-us-cdn.justfab.com/media/images/products/BF2250668-9011/yitty_BF2250668-9011-1_998x1498.jpg	"https://yitty.fabletics.com/products/13404406?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Socks & Underwear > Bikini > Briefs"	Fabletics		https://fabletics-us-cdn.justfab.com/media/images/products/BF2250668-9011/yitty_BF2250668-9011-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/BF2250668-9011/yitty_BF2250668-9011-4_998x1498.jpg	1669	BF2250668-9011	1		https://fabletics-us-cdn.justfab.com/media/images/products/BF2250668-9011/yitty_BF2250668-9011-5_998x1498.jpg	0	13404406	BF2250668-9011	2	2023/06/12
TH2250601-9011-16340	13404469	"Nearly Naked Shaping High Waist Thong"	$39.95		https://fabletics-us-cdn.justfab.com/media/images/products/TH2250601-9011/yitty_TH2250601-9011-1_998x1498-plus.jpg	"https://yitty.fabletics.com/products/13404469?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Socks & Underwear > Thongs"	Fabletics		https://fabletics-us-cdn.justfab.com/media/images/products/TH2250601-9011/yitty_TH2250601-9011-3_998x1498-plus.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/TH2250601-9011/yitty_TH2250601-9011-4_998x1498-plus.jpg	3404	TH2250601-9011	1		https://fabletics-us-cdn.justfab.com/media/images/products/TH2250601-9011/yitty_TH2250601-9011-5_998x1498-plus.jpg	0	13404469	TH2250601-9011	2	2023/06/12
