id	item_group_id	title	description	price	sale_price	image_link	link	availability	product_type	color	size	custom_label_0	parent_sku	sales_count_10_days	sales_count_conversions_10_days	release_date	inventory_count	low_stock	sales_count_conversions_1_day	woh	wide_width	wide_calf
HD2355188-2400-84120	14625427	"No Time To Waste Stiletto Heeled Sandal"	" Material: Faux Leather Heel Height: 4.25"" Measurements will vary slightly Closure: Adjustable Buckle Imported "	"$29.95 "	$7.49	https://us-cdn.justfab.com/media/images/products/HD2355188-2400/HD2355188-2400-2_589x860.jpg	//justfab.com/products/No-Time-To-Waste-Stiletto-Heeled-Sandal-HD2355188-2400	"out of stock"	"Fashion > Shoes > Sandals > Ankle Strap"	Beige	12	1	HD2355188-2400	19	1	05/01/2023	139		1	9.9		
SK2354956-0001-84110	14625856	"Harley High Top Sneaker"	" Material: Canvas Platform Height: 2.25"" Heel Height: 2.25"" Shaft Height: 5.0"" Measurements will vary slightly Closure: Adjustable Laces Imported "	"$42.95 "	$10.74	https://us-cdn.justfab.com/media/images/products/SK2354956-0001/SK2354956-0001-2_589x860.jpg	//justfab.com/products/Harley-High-Top-Sneaker-SK2354956-0001	"in stock"	"Fashion > Shoes > Sneakers > High Top"	Black	11	3	SK2354956-0001	23	3	05/01/2023	201		1	28.7		
SK2354957-6490-84120	14625973	"Jasmyne Athletic Sneaker"	" Material: Recycled Active Knit/ Rubberized Faux Leather Heel Height: 2.0"" Measurements will vary slightly Closure: Adjustable Laces Imported "	"$42.95 "	$10.74	https://us-cdn.justfab.com/media/images/products/SK2354957-6490/SK2354957-6490-2_589x860.jpg	//justfab.com/products/Jasmyne-Athletic-Sneaker-SK2354957-6490	"in stock"	"Fashion > Shoes > Sneakers > Active"	"High Risk Red"	12	2	SK2354957-6490	27	2	08/30/2023	1859		1	37.9		
FT2355812-2600-83120	14690083	"Ailana Flat Mule"	" Material: Faux Suede Heel Height: 0.5"" Measurements will vary slightly Closure: Slip On Imported "	"$29.95 "	$7.49	https://us-cdn.justfab.com/media/images/products/FT2355812-2600/FT2355812-2600-2_589x860.jpg	//justfab.com/products/Ailana-Flat-Mule-FT2355812-2600	"in stock"	"Fashion > Shoes > Flats > Mule"	Camel	12	5	FT2355812-2600	36	5	07/12/2023	1080		1	51.4		
FA2355853-1090-83120	14690200	"Talia Slide Sandal"	" Soft cloud cushion Material: Faux Leather Heel Height: 0.25"" Measurements will vary slightly Closure: Slip On Imported "	"$19.95 "	$4.99	https://us-cdn.justfab.com/media/images/products/FA2355853-1090/FA2355853-1090-2_589x860.jpg	//justfab.com/products/Talia-Slide-Sandal-FA2355853-1090	"out of stock"	"Fashion > Shoes > Sandals > Slide"	"Bright White"	12	3	FA2355853-1090	52	3	05/28/2023	491		1	17.5		
FA2355815-6926-83120	14690929	"Tori Gladiator Sandal"	" Material: Faux Leather Heel Height: 1.25"" Platform Height: 1.0"" Measurements will vary slightly Closure: Adjustable Buckle Imported "	"$36.95 "	$9.24	https://us-cdn.justfab.com/media/images/products/FA2355815-6926/FA2355815-6926-2_589x860.jpg	//justfab.com/products/Tori-Gladiator-Sandal-FA2355815-6926	"out of stock"	"Fashion > Shoes > Sandals > Gladiator"	"Leather Brown"	12	6	FA2355815-6926	30	6	07/12/2023	893		1	42.5		
FT2147430-1429-83120	14691046	"Lincoln Driving Moccasin"	" Belongs to the JF Core collection—tried, tested & true Material: Faux Leather Heel Height: 0.25"" Measurements will vary slightly Closure: Slip On Imported "	"$29.95 "	$7.49	https://us-cdn.justfab.com/media/images/products/FT2147430-1429/FT2147430-1429-2_589x860.jpg	//justfab.com/products/Lincoln-Driving-Moccasin-FT2147430-1429	"out of stock"	"Fashion > Shoes > Flats > Loafer"	"Birch White"	12	3	FT2147430-1429	19	3	05/29/2023	62		1	3		
SK2355827-0001-83120	14691202	"Emery Athletic Sneaker"	" Material: Polyester Heel Height: 1.5"" Platform Height: 1.5"" Measurements will vary slightly Closure: Adjustable Laces Imported "	"$39.95 "	$9.99	https://us-cdn.justfab.com/media/images/products/SK2355827-0001/SK2355827-0001-2_589x860.jpg	//justfab.com/products/Emery-Athletic-Sneaker-SK2355827-0001	"out of stock"	"Fashion > Shoes > Sneakers > Active"	Black	12	3	SK2355827-0001	22	3	07/27/2023	410		1	19.5		
PP2149113-1429-83120	14691397	"Daphne Block Heel Pump"	" Belongs to the JF Core collection—tried, tested & true Padded insole with arch support Material: Faux Leather Heel Height: 3.5"" Measurements will vary slightly Closure: Slip On Imported "	"$29.95 "	$7.49	https://us-cdn.justfab.com/media/images/products/PP2149113-1429/PP2149113-1429-2_589x860.jpg	//justfab.com/products/Daphne-Block-Heel-Pump-PP2149113-1429	"out of stock"	"Fashion > Shoes > Pumps > Classic"	"Birch White"	12	5	PP2149113-1429	23	5	05/29/2023	163		1	4.7		
HD2354799-0204-83120	14691475	"Bristol Block Heeled Sandal"	" Material: Faux Leather Heel Height: 4.25"" Platform Height: 1.5"" Measurements will vary slightly Closure: Slip On Imported "	"$42.95 "	$10.74	https://us-cdn.justfab.com/media/images/products/HD2354799-0204/HD2354799-0204-2_589x860.jpg	//justfab.com/products/Bristol-Block-Heeled-Sandal-HD2354799-0204	"out of stock"	"Fashion > Shoes > Sandals > Mule"	Gold	12	4	HD2354799-0204	14	4	07/12/2023	979		1	139.9		
