id	item_group_id	title	description	price	sale_price	image_link	additional_image_link	link	availability	product_type	brand	color	size	custom_label_0	custom_label_1	custom_label_2	custom_label_3	custom_label_4	parent_sku	catwalk_video	release_date	half_price	sales_count_conversions_10_days	inventory_count	sales_count_conversions_1_day	woh	wide_width	wide_calf
HD2356666-2990-83120	16726621	"Carlin Cut-Out Bootie"	" Material: Faux Leather Heel Height: 4.5"" Platform Height: 0.5"" Shaft Height (based on size 8): 3.75"" Closure: Adjustable Buckle Imported. "	"$44.95 "	$11.24	https://us-cdn.justfab.com/media/images/products/HD2356666-2990/HD2356666-2990-2_589x860.jpg		https://www.justfab.com/products/Carlin-Heeled-Sandal-HD2356666-2990	"in stock"	"Fashion > Shoes > Boots > Booties"	JustFab	"Leather Brown"	12						HD2356666-2990		2023/08/30	$13.49	0	3388	0	3388		
HS2253292-0204-83120	15037640	"Khloy Tall Stiletto Boot"	" Material: Faux Leather Padded insole with arch support Heel Height: 3.25"" Shaft Height (based on size 8): 15.25"" Wide Width has additional room across the footbed, ball of the foot, and instep Wide Width + Wide Calf size is available in D fit Imported "	"$59.95 "	$14.99	https://us-cdn.justfab.com/media/images/products/HS2253292-0204/HS2253292-0204-2_589x860.jpg		https://www.justfab.com/products/Khloy-Tall-Stiletto-Boot-HS2253292-0204	"in stock"	"Fashion > Shoes > Boots > Heeled Boots"	JustFab	Gold	12						HS2253292-0204		2023/08/30	$17.99	8	2417	2	"172.6 Wide Calf Available"		"Wide Calf Available"
HS2253292-2990-83120	13694770	"Khloy Tall Stiletto Boot"	" Material: Faux Leather Padded insole with arch support Heel Height: 3.5"" Shaft Height (based on size 8): 15.25"" Wide Width has additional room across the footbed, ball of the foot, and instep Wide width + Wide Calf size is available in D fit Closure: Inside Zipper Imported "	"$59.95 "	$14.99	https://us-cdn.justfab.com/media/images/products/HS2253292-2990/HS2253292-2990-2_589x860.jpg		https://www.justfab.com/products/Khloy-Tall-Stiletto-Boot-HS2253292-2990	"in stock"	"Fashion > Shoes > Boots > Heeled Boots"	JustFab	"Leather Brown"	12						HS2253292-2990	https://us-cdn.justfab.com/media/video/products/HS2253292-2990/HS2253292-2990.mp4	2023/08/30	$17.99	54	3241	7	"35.6 Wide Calf Available"		"Wide Calf Available"
HS2356574-8276-83065	16727331	"Rosamund Slouch Heeled Boot"	" Material: Faux Leather Heel Height: 3.5"" Shaft Height (based on size 8): 16.0"" Wide Width has additional room across the footbed, ball of the foot, and instep Wide Width + Wide Calf size is available in D fit Closure: Pull On Imported. "	"$54.95 "	$13.74	https://us-cdn.justfab.com/media/images/products/HS2356574-8276/HS2356574-8276-2_589x860.jpg		https://www.justfab.com/products/Rosamund-Slouch-Heeled-Boot-HS2356574-8276	"in stock"	"Fashion > Shoes > Boots > Slouch"	JustFab	"Brown/ White"	6.5						HS2356574-8276		2023/08/30	$16.49	6	2155	0	"2155 Wide Calf Available"		"Wide Calf Available"
HS2356625-0001-83120	16726751	"Romy Heeled Boot"	" Material: Faux Leather Heel Height: 3.5"" Platform Height: 1.0"" Shaft Height (based on size 8): 16.25"" Closure: Functional Inside Zipper Imported. "	"$52.95 "	$13.24	https://us-cdn.justfab.com/media/images/products/HS2356625-0001/HS2356625-0001-2_589x860.jpg		https://www.justfab.com/products/Romy-Heeled-Boot-HS2356625-0001	"in stock"	"Fashion > Shoes > Boots > Heeled Boots"	JustFab	Black	12						HS2356625-0001		2023/08/30	$15.89	0	2999	0	2999		
HS2356642-0001-84120	16729691	"Reigan Heeled Boot"	" Material: Faux Leather Heel Height: 5.25"" Platform Height: 2.5"" Shaft Height (based on size 8): 22.25"" Closure: Functional Inside Zipper Imported. "	"$59.95 "	$14.99	https://us-cdn.justfab.com/media/images/products/HS2356642-0001/HS2356642-0001-2_589x860.jpg		https://www.justfab.com/products/Reigan-Heeled-Boot-HS2356642-0001	"in stock"	"Fashion > Shoes > Boots > Over the Knee"	JustFab	Black	12						HS2356642-0001		2023/08/30	$17.99	0	2609	0	2609		
HS2356644-0001-84120	16731176	"Zimi Stiletto Boot"	" Material: Faux Leather Heel Height: 3.0"" Shaft Height (based on size 8): 14.5"" Closure: Pull On Imported. "	"$59.95 "	$14.99	https://us-cdn.justfab.com/media/images/products/HS2356644-0001/HS2356644-0001-2_589x860.jpg		https://www.justfab.com/products/Zimi-Stiletto-Boot-HS2356644-0001	"in stock"	"Fashion > Shoes > Boots > Heeled Boots"	JustFab	Black	12						HS2356644-0001		2023/08/30	$17.99	0	910	0	910		
HS2356644-1090-84120	16731241	"Zimi Stiletto Boot"	" Material: Faux Leather Heel Height: 3.0"" Shaft Height (based on size 8): 14.5"" Closure: Pull On Imported. "	"$59.95 "	$14.99	https://us-cdn.justfab.com/media/images/products/HS2356644-1090/HS2356644-1090-2_589x860.jpg		https://www.justfab.com/products/Zimi-Stiletto-Boot-HS2356644-1090	"in stock"	"Fashion > Shoes > Boots > Heeled Boots"	JustFab	"Bright White"	12						HS2356644-1090		2023/08/30	$17.99	0	597	0	597		
HS2356651-0001-84120	16729496	"Ysabel Over-The-Knee Stiletto Boot"	" Material: Faux Suede Heel Height: 4.0"" Platform Height: 22.0"" Closure: Functional Inside Zipper Imported. "	"$59.95 "	$14.99	https://us-cdn.justfab.com/media/images/products/HS2356651-0001/HS2356651-0001-2_589x860.jpg		https://www.justfab.com/products/Ysabel-Over-The-Knee-Stiletto-Boot-HS2356651-0001	"in stock"	"Fashion > Shoes > Boots > Over the Knee"	JustFab	Black	12						HS2356651-0001		2023/08/30	$17.99	0	2778	0	2778		
HS2356651-2820-84120	16729561	"Ysabel Over-The-Knee Stiletto Boot"	" Material: Faux Suede Heel Height: 4.0"" Platform Height: 22.0"" Closure: Functional Inside Zipper Imported. "	"$59.95 "	$14.99	https://us-cdn.justfab.com/media/images/products/HS2356651-2820/HS2356651-2820-2_589x860.jpg		https://www.justfab.com/products/Ysabel-Over-The-Knee-Stiletto-Boot-HS2356651-2820	"in stock"	"Fashion > Shoes > Boots > Over the Knee"	JustFab	Coffee	12						HS2356651-2820		2023/08/30	$17.99	0	2000	0	2000		
HS2356651-8280-84120	16729626	"Ysabel Over-The-Knee Stiletto Boot"	" Material: Faux Suede Heel Height: 4.0"" Platform Height: 22.0"" Closure: Functional Inside Zipper Imported. "	"$59.95 "	$14.99	https://us-cdn.justfab.com/media/images/products/HS2356651-8280/HS2356651-8280-2_589x860.jpg		https://www.justfab.com/products/Ysabel-Over-The-Knee-Stiletto-Boot-HS2356651-8280	"in stock"	"Fashion > Shoes > Boots > Over the Knee"	JustFab	"Acai Purple"	12						HS2356651-8280		2023/08/30	$17.99	0	802	0	802		
HS2356669-0001-84120	16730016	"Alyssa Heeled Boot"	" Material: Faux Suede Heel Height: 4.5"" Platform Height: 0.75"" Shaft Height (based on size 8): 20.0"" Closure: Functional Inside Zipper Imported. "	"$64.95 "	$16.24	https://us-cdn.justfab.com/media/images/products/HS2356669-0001/HS2356669-0001-2_589x860.jpg		https://www.justfab.com/products/Alyssa-Heeled-Boot-HS2356669-0001	"in stock"	"Fashion > Shoes > Boots > Over the Knee"	JustFab	Black	12						HS2356669-0001		2023/08/30	$19.49	0	1504	0	1504		
HS2356669-2531-84120	16730341	"Alyssa Heeled Boot"	" Material: Faux Suede Heel Height: 4.5"" Platform Height: 0.75"" Shaft Height (based on size 8): 20.0"" Closure: Functional Inside Zipper Imported. "	"$64.95 "	$16.24	https://us-cdn.justfab.com/media/images/products/HS2356669-2531/HS2356669-2531-2_589x860.jpg		https://www.justfab.com/products/Alyssa-Heeled-Boot-HS2356669-2531	"in stock"	"Fashion > Shoes > Boots > Over the Knee"	JustFab	"Light Tan"	12						HS2356669-2531		2023/08/30	$19.49	0	1206	0	1206		
HS2356690-2820-83120	15037765	"Kitt Lace Up Boot"	" Material: Faux Suede Heel Height: 4"" Platform Height: 1.5"" Shaft Height: 14"" Closure: Functional Back Zipper Measurements will vary slightly Imported "	"$62.95 "	$15.74	https://us-cdn.justfab.com/media/images/products/HS2356690-2820/HS2356690-2820-2_589x860.jpg		https://www.justfab.com/products/Kitt-Lace-Up-Boot-HS2356690-2820	"in stock"	"Fashion > Shoes > Boots > Heeled Boots"	JustFab	Coffee	12						HS2356690-2820		2023/08/30	$18.89	8	2851	0	45.3		
HS2356699-8276-81065	16727331	"Rosamund Slouch Heeled Boot"	" Material: Faux Leather Heel Height: 3.5"" Shaft Height (based on size 8): 16.0"" Wide Width has additional room across the footbed, ball of the foot, and instep Wide Width + Wide Calf size is available in D fit Closure: Pull On Imported. "	"$54.95 "	$13.74	https://us-cdn.justfab.com/media/images/products/HS2356574-8276/HS2356574-8276-2_589x860.jpg		https://www.justfab.com/products/Rosamund-Slouch-Heeled-Boot-HS2356574-8276	"out of stock"	"Fashion > Shoes > Boots > Slouch"	JustFab	"Brown/ White"	6.5						HS2356699-8276		2023/08/30	$16.49	6	2155	0	"2155 Wide Calf Available"		"Wide Calf Available"
HS2356701-0204-83120	15037640	"Khloy Tall Stiletto Boot"	" Material: Faux Leather Padded insole with arch support Heel Height: 3.25"" Shaft Height (based on size 8): 15.25"" Wide Width has additional room across the footbed, ball of the foot, and instep Wide Width + Wide Calf size is available in D fit Imported "	"$59.95 "	$14.99	https://us-cdn.justfab.com/media/images/products/HS2253292-0204/HS2253292-0204-2_589x860.jpg		https://www.justfab.com/products/Khloy-Tall-Stiletto-Boot-HS2253292-0204	"in stock"	"Fashion > Shoes > Boots > Heeled Boots"	JustFab	Gold	12						HS2356701-0204		2023/08/30	$17.99	8	2417	2	"172.6 Wide Calf Available"		"Wide Calf Available"
HS2356701-2990-83120	13694770	"Khloy Tall Stiletto Boot"	" Material: Faux Leather Padded insole with arch support Heel Height: 3.5"" Shaft Height (based on size 8): 15.25"" Wide Width has additional room across the footbed, ball of the foot, and instep Wide width + Wide Calf size is available in D fit Closure: Inside Zipper Imported "	"$59.95 "	$14.99	https://us-cdn.justfab.com/media/images/products/HS2253292-2990/HS2253292-2990-2_589x860.jpg		https://www.justfab.com/products/Khloy-Tall-Stiletto-Boot-HS2253292-2990	"in stock"	"Fashion > Shoes > Boots > Heeled Boots"	JustFab	"Leather Brown"	12						HS2356701-2990	https://us-cdn.justfab.com/media/video/products/HS2253292-2990/HS2253292-2990.mp4	2023/08/30	$17.99	54	3241	7	"35.6 Wide Calf Available"		"Wide Calf Available"
PP2044681-1798-83120	16728676	"Gisselle Classic Pump"	" Belongs to the JF Core collection—tried, tested & true Material: Faux Suede Heel Height: 4.0"" Closure: Slip On Imported. "	"$29.95 "	$7.49	https://us-cdn.justfab.com/media/images/products/PP2044681-1798/PP2044681-1798-2_589x860.jpg		https://www.justfab.com/products/Gisselle-Classic-Pump-PP2044681-1798	"in stock"	"Fashion > Shoes > Pumps > Classic"	JustFab	"Harvest Pumpkin"	12						PP2044681-1798	https://us-cdn.justfab.com/media/video/products/PP2044681-1977/PP2044681-1977.mp4	2023/08/30	$8.99	0	506	0	506		
PP2146840-0201-84120	16730721	"Annakay Pointed Toe Pump"	" Material: Faux Leather Heel Height: 4.0"" Closure: Slip On Imported. "	"$29.95 "	$7.49	https://us-cdn.justfab.com/media/images/products/PP2146840-0201/PP2146840-0201-2_589x860.jpg		https://www.justfab.com/products/Annakay-Pointed-Toe-Pump-PP2146840-0201	"in stock"	"Fashion > Shoes > Pumps > Classic"	JustFab	Silver	12						PP2146840-0201		2023/08/30	$8.99	0	1192	0	1192		
PP2354778-1533-84120	14584753	"Brit Sling-Back Flared Pump"	" Material: Faux Suede Heel Height: 4.0"" Measurements will vary slightly Closure: Elastic Strap Imported "	"$39.95 "	$9.99	https://us-cdn.justfab.com/media/images/products/PP2354778-1533/PP2354778-1533-2_589x860.jpg		https://www.justfab.com/products/Brit-Sling-Back-Flared-Pump-PP2354778-1533	"in stock"	"Fashion > Shoes > Pumps > Slingback"	JustFab	"Black Caviar"	12						PP2354778-1533	https://us-cdn.justfab.com/media/video/products/PP2043022-2153/PP2043022-2153.mp4	2023/08/30	$11.99	12	1384	1	22		
PP2354778-3885-84120	16731306	"Brit Sling-Back Flared Pump"	" Material: Faux Suede Heel Height: 4.0"" Closure: Elastic Strap Imported. "	"$39.95 "	$9.99	https://us-cdn.justfab.com/media/images/products/PP2354778-3885/PP2354778-3885-2_589x860.jpg		https://www.justfab.com/products/Brit-Sling-Back-Flared-Pump-PP2354778-3885	"in stock"	"Fashion > Shoes > Pumps > Slingback"	JustFab	"Tender Shoots Green"	12						PP2354778-3885		2023/08/30	$11.99	0	606	0	606		
PP2356627-1590-83120	16728091	"Audrey Slingback Pump"	" Material: Faux Leather Heel Height: 2.0"" Closure: Elastic Strap Imported. "	"$39.95 "	$9.99	https://us-cdn.justfab.com/media/images/products/PP2356627-1590/PP2356627-1590-2_589x860.jpg		https://www.justfab.com/products/Audrey-Slingback-Pump-PP2356627-1590	"in stock"	"Fashion > Shoes > Flats > Loafer"	JustFab	"Vapor Blue"	12						PP2356627-1590		2023/08/30	$11.99	0	600	0	600		
PP2356627-8278-83120	16728026	"Audrey Slingback Pump"	" Material: Faux Suede Heel Height: 2.0"" Closure: Elastic Strap Imported. "	"$39.95 "	$9.99	https://us-cdn.justfab.com/media/images/products/PP2356627-8278/PP2356627-8278-2_589x860.jpg		https://www.justfab.com/products/Audrey-Slingback-Pump-PP2356627-8278	"in stock"	"Fashion > Shoes > Flats > Loafer"	JustFab	"Rocky Road"	12						PP2356627-8278		2023/08/30	$11.99	0	804	0	804		
PP2356628-0001-83120	16726261	"Daria Block Heeled Loafer Pump"	" Material: Faux Leather Heel Height: 3.5"" Platform Height: 0.75"" Closure: Slip On Imported. "	"$49.95 "	$12.49	https://us-cdn.justfab.com/media/images/products/PP2356628-0001/PP2356628-0001-2_589x860.jpg		https://www.justfab.com/products/Daria-Block-Heeled-Loafer-Pump-PP2356628-0001	"in stock"	"Fashion > Shoes > Pumps > Platform"	JustFab	Black	12						PP2356628-0001		2023/08/30	$14.99	0	2588	0	2588		
PP2356628-1429-83120	16726326	"Daria Block Heeled Loafer Pump"	" Material: Faux Leather Heel Height: 3.5"" Platform Height: 0.75"" Closure: Slip On Imported. "	"$49.95 "	$12.49	https://us-cdn.justfab.com/media/images/products/PP2356628-1429/PP2356628-1429-2_589x860.jpg		https://www.justfab.com/products/Daria-Block-Heeled-Loafer-Pump-PP2356628-1429	"in stock"	"Fashion > Shoes > Pumps > Platform"	JustFab	"Birch White"	12						PP2356628-1429		2023/08/30	$14.99	0	2000	0	2000		
PP2356629-2990-83120	16726391	"Bridget Block Heeled Mule"	" Material: Faux Leather Heel Height: 3.5"" Platform Height: 0.75"" Closure: Slip On Imported. "	"$36.95 "	$9.24	https://us-cdn.justfab.com/media/images/products/PP2356629-2990/PP2356629-2990-2_589x860.jpg		https://www.justfab.com/products/Bridget-Block-Heeled-Mule-PP2356629-2990	"in stock"	"Fashion > Shoes > Pumps > Mule"	JustFab	"Leather Brown"	12						PP2356629-2990		2023/08/30	$11.09	0	1998	0	1998		
PP2356648-0204-84120	16731436	"Iva Pointed Toe Pump"	" Material: Faux Leather Heel Height: 2.0"" Closure: Slip On Imported. "	"$32.95 "	$8.24	https://us-cdn.justfab.com/media/images/products/PP2356648-0204/PP2356648-0204-2_589x860.jpg		https://www.justfab.com/products/Iva-Pointed-Toe-Pump-PP2356648-0204	"in stock"	"Fashion > Shoes > Pumps > Mule"	JustFab	Gold	12						PP2356648-0204		2023/08/30	$9.89	0	606	0	606		
PP2356648-8280-84120	16731371	"Iva Pointed Toe Pump"	" Material: Faux Leather Heel Height: 2.0"" Closure: Slip On Imported. "	"$32.95 "	$8.24	https://us-cdn.justfab.com/media/images/products/PP2356648-8280/PP2356648-8280-2_589x860.jpg		https://www.justfab.com/products/Iva-Pointed-Toe-Pump-PP2356648-8280	"in stock"	"Fashion > Shoes > Pumps > Mule"	JustFab	"Acai Purple"	12						PP2356648-8280		2023/08/30	$9.89	0	606	0	606		
