id	item_group_id	title	price	sale_price	image_link	link	availability	product_type	brand	additional_image_link_1	additional_image_link_2	additional_image_link_3	inventory_count	product_sku	sales_count_conversions_10_days	additional_image_link_0	additional_image_link_4	sales_count_conversions_1_day	mpid	parent_sku	membership_brand_id	base_sku	release_date
LE2356391-4846-15030	15191680	"The O2 Tank"	$44.95		https://fabletics-us-cdn.justfab.com/media/images/products/LE2356391-4846/LE2356391-4846-1_998x1498.jpg	"https://www.fabletics.com/products/15191680?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Mens > Top > Sleeveless Tees"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/LE2356391-4846/LE2356391-4846-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LE2356391-4846/LE2356391-4846-4_998x1498.jpg	599	LE2356391-4846	96			11	15191680	LE2356391-4846	1	LE2356391	2023/07/31
LE2356391-7575-15060	15191780	"The O2 Tank"	$44.95		https://fabletics-us-cdn.justfab.com/media/images/products/LE2356391-7575/LE2356391-7575-1_998x1498.jpg	"https://www.fabletics.com/products/15191780?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Mens > Top > Sleeveless Tees"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/LE2356391-7575/LE2356391-7575-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LE2356391-7575/LE2356391-7575-4_998x1498.jpg	504	LE2356391-7575	63		https://fabletics-us-cdn.justfab.com/media/images/products/LE2356391-7575/LE2356391-7575-5_998x1498.jpg	12	15191780	LE2356391-7575	1	LE2356391	2023/07/31
LE2356391-10985-15060	15191815	"The O2 Tank"	$44.95		https://fabletics-us-cdn.justfab.com/media/images/products/LE2356391-10985/LE2356391-10985-1_998x1498.jpg	"https://www.fabletics.com/products/15191815?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Mens > Top > Sleeveless Tees"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/LE2356391-10985/LE2356391-10985-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LE2356391-10985/LE2356391-10985-4_998x1498.jpg	144	LE2356391-10985	122			22	15191815	LE2356391-10985	1	LE2356391	2023/07/31
UW2044696-9131-15060	15191885	"The 24-7 Boxer Brief"	$19.95		https://fabletics-us-cdn.justfab.com/media/images/products/UW2044696-9131/UW2044696-9131-1_998x1498.jpg	"https://www.fabletics.com/products/15191885?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Mens > Underwear"	"Fabletics Men 1"				583	UW2044696-9131	155			29	15191885	UW2044696-9131	1	UW2044696	2023/07/31
UW2253709-7644-15060	15192235	"The 24-7 Boxer Brief"	$19.95		https://fabletics-us-cdn.justfab.com/media/images/products/UW2253709-7644/UW2253709-7644-1_998x1498.jpg	"https://www.fabletics.com/products/15192235?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Mens > Underwear"	"Fabletics Men 1"				39	UW2253709-7644	98			2	15192235	UW2253709-7644	1	UW2253709	2023/07/31
FM230861-00	15192375	"The Fundamental Fit 2-Piece Outfit"	$94.9		https://fabletics-us-cdn.justfab.com/media/images/products/FM230861/FM230861-1_998x1498.jpg	"https://www.fabletics.com/products/15264825?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Mens > Outfits"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/FM230861/FM230861-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/FM230861/FM230861-4_998x1498.jpg	0	FM230861	1			0	15192375	FM230861	1		2023/07/31
FLS230806-00	15212560	"Helix + Intake 2-Piece Set"	$89.9		https://fabletics-us-cdn.justfab.com/media/images/products/FLS230806/FLS230806-1_998x1498.jpg	"https://www.fabletics.com/products/15336895?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Scrubs > Kits > Product Feed"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/FLS230806/FLS230806-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/FLS230806/FLS230806-4_998x1498.jpg	14	FLS230806	64		https://fabletics-us-cdn.justfab.com/media/images/products/FLS230806/FLS230806-5_998x1498.jpg	13	15212560	FLS230806	1		2023/07/31
FLS230803-00	15212610	"Method + High-Rise On-Call 2-Piece Set"	$89.9		https://fabletics-us-cdn.justfab.com/media/images/products/FLS230803/FLS230803-1_998x1498.jpg	"https://www.fabletics.com/products/15336880?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Scrubs > Kits > Product Feed"	"Fabletics 1"		https://fabletics-us-cdn.justfab.com/media/images/products/FLS230803/FLS230803-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/FLS230803/FLS230803-4_998x1498.jpg	351	FLS230803	224		https://fabletics-us-cdn.justfab.com/media/images/products/FLS230803/FLS230803-5_998x1498.jpg	28	15212610	FLS230803	1		2023/07/31
TS2253853-8386-17050	15212665	"Vital 1-Pocket Scrub Top"	$39.95		https://fabletics-us-cdn.justfab.com/media/images/products/TS2253853-8386/TS2253853-8386-1_998x1498.jpg	"https://www.fabletics.com/products/15212665?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Scrubs > Tops > Product Feed"	"Fabletics 1"		https://fabletics-us-cdn.justfab.com/media/images/products/TS2253853-8386/TS2253853-8386-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/TS2253853-8386/TS2253853-8386-4_998x1498.jpg	537	TS2253853-8386	172		https://fabletics-us-cdn.justfab.com/media/images/products/TS2253853-8386/TS2253853-8386-5_998x1498.jpg	12	15212665	TS2253853-8386	1	TS2253853	2023/07/31
GJ2253977-8386-11040	15213765	"On-Call Scrub Jogger"	$49.95		https://fabletics-us-cdn.justfab.com/media/images/products/GJ2253977-8386/GJ2253977-8386-1_998x1498.jpg	"https://www.fabletics.com/products/15213765?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Scrubs > Bottoms > Product Feed"	"Fabletics 1"		https://fabletics-us-cdn.justfab.com/media/images/products/GJ2253977-8386/GJ2253977-8386-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/GJ2253977-8386/GJ2253977-8386-4_998x1498.jpg	153	GJ2253977-8386	190		https://fabletics-us-cdn.justfab.com/media/images/products/GJ2253977-8386/GJ2253977-8386-5_998x1498.jpg	8	15213765	GJ2253977-8386	1	GJ2253977	2023/07/31
