id	item_group_id	title	price	sale_price	image_link	link	availability	product_type	additional_image_link_1	additional_image_link_2	additional_image_link_3	inventory_count	product_sku	sales_count_conversions_10_days	additional_image_link_0	additional_image_link_4	sales_count_conversions_1_day	mpid	release_date	parent_sku
LG1933659-0001-17030	7979842	"Trinity Motion365® Mid-Rise 7/8 Legging"	$74.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG1933659-0001/LG1933659-0001-1_998x1498.jpg	"https://www.fabletics.com/products/7979842?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > 7/8s"	https://d28m5bx785ox17.cloudfront.net/v1/img/-hxHOICTXYBkjhIN_Og76BwqFJVItmV2GsDvP2LLSC0=?.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG1933659-0001/LG1933659-0001-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG1933659-0001/LG1933659-0001-4_998x1498.jpg	15922	LG1933659-0001	36			3	7979842	04/27/2023	LG1933659-0001
LG2042974-1566-39020	12668611	"Oasis PureLuxe High-Waisted Legging"	$74.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG2042973-1566/LG2042973-1566-1_998x1498.jpg	"https://www.fabletics.com/products/12668611?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Full Length"		https://fabletics-us-cdn.justfab.com/media/images/products/LG2042973-1566/LG2042973-1566-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG2042973-1566/LG2042973-1566-4_998x1498.jpg	2610	LG2042974-1566	35		https://fabletics-us-cdn.justfab.com/media/images/products/LG2042973-1566/LG2042973-1566-5_998x1498.jpg	6	12668611	07/01/2022	LG2042974-1566
LG2253450-3779-17070	13003471	"PureLuxe Ultra High-Waisted 7/8 Legging"	$84.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG2253450-3779/LG2253450-3779-1_998x1498.jpg	"https://www.fabletics.com/products/13003471?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > 7/8s"		https://fabletics-us-cdn.justfab.com/media/images/products/LG2253450-3779/LG2253450-3779-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG2253450-3779/LG2253450-3779-4_998x1498.jpg	10148	LG2253450-3779	35			6	13003471	07/10/2023	LG2253450-3779
LG2253936-7571-17070	14753530	"Define PowerHold® High-Waisted Legging"	$69.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG2253936-7571/LG2253936-7571-1_998x1498.jpg	"https://www.fabletics.com/products/14753530?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Full Length"		https://fabletics-us-cdn.justfab.com/media/images/products/LG2253936-7571/LG2253936-7571-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG2253936-7571/LG2253936-7571-4_998x1498.jpg	80	LG2253936-7571	34			3	14753530	06/15/2023	LG2253936-7571
LG1828243-6568-17070	14556160	"Define PowerHold® High-Waisted 7/8 Legging"	$74.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG1828243-6568/LG1828243-6568-1_998x1498.jpg	"https://www.fabletics.com/products/14556160?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > 7/8s"		https://fabletics-us-cdn.justfab.com/media/images/products/LG1828243-6568/LG1828243-6568-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG1828243-6568/LG1828243-6568-4_998x1498.jpg	2045	LG1828243-6568	32		https://fabletics-us-cdn.justfab.com/media/images/products/LG1828243-6568/LG1828243-6568-5_998x1498.jpg	3	14556160	04/27/2023	LG1828243-6568
LG2354450-6566-17030	14419396	"Anywhere Motion365+ High-Waisted Legging"	$84.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG2354450-6566/LG2354450-6566-1_998x1498.jpg	"https://www.fabletics.com/products/14419396?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Full Length"		https://fabletics-us-cdn.justfab.com/media/images/products/LG2354450-6566/LG2354450-6566-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG2354450-6566/LG2354450-6566-4_998x1498.jpg	956	LG2354450-6566	31		https://fabletics-us-cdn.justfab.com/media/images/products/LG2354450-6566/LG2354450-6566-5_998x1498.jpg	3	14419396	04/27/2023	LG2354450-6566
LG2253616-5323-17040	14073166	"Sync Seamless High-Waisted 7/8 Legging"	$49.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG2253616-5323/LG2253616-5323-1_998x1498.jpg	"https://www.fabletics.com/products/14073166?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > 7/8s"		https://fabletics-us-cdn.justfab.com/media/images/products/LG2253616-5323/LG2253616-5323-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG2253616-5323/LG2253616-5323-4_998x1498.jpg	1994	LG2253616-5323	28			5	14073166	11/11/2022	LG2253616-5323
LG1937944-7568-17070	14753596	"On-The-Go PowerHold® High-Waisted Legging"	$74.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG1937944-7568/LG1937944-7568-1_998x1498.jpg	"https://www.fabletics.com/products/14753596?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Full Length"		https://fabletics-us-cdn.justfab.com/media/images/products/LG1937944-7568/LG1937944-7568-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG1937944-7568/LG1937944-7568-4_998x1498.jpg	57	LG1937944-7568	26			4	14753596	06/15/2023	LG1937944-7568
LG1937948-5696-39070	14038645	"On-The-Go PowerHold® High-Waisted Legging"	$74.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG1937944-5696/LG1937944-5696-1_998x1498.jpg	"https://www.fabletics.com/products/14038645?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Full Length"		https://fabletics-us-cdn.justfab.com/media/images/products/LG1937944-5696/LG1937944-5696-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG1937944-5696/LG1937944-5696-4_998x1498.jpg	1239	LG1937948-5696	23		https://fabletics-us-cdn.justfab.com/media/images/products/LG1937944-5696/LG1937944-5696-5_998x1498.jpg	20	14038645	12/12/2022	LG1937948-5696
CS2355222-7519-17070	14420485	"Trinity Motion365+ High-Waisted Capri"	$69.95		https://fabletics-us-cdn.justfab.com/media/images/products/CS2355222-7519/CS2355222-7519-1_998x1498.jpg	"https://www.fabletics.com/products/14420485?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Capris"		https://fabletics-us-cdn.justfab.com/media/images/products/CS2355222-7519/CS2355222-7519-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/CS2355222-7519/CS2355222-7519-4_998x1498.jpg	340	CS2355222-7519	23		https://fabletics-us-cdn.justfab.com/media/images/products/CS2355222-7519/CS2355222-7519-5_998x1498.jpg	2	14420485	04/27/2023	CS2355222-7519
